1,"宇治原海斗","鳥取県出身のシンガーソングライター"
2,"一文字ひかり","長崎県出身の歌手"
3,"東雲美緒","秋田県出身の演歌歌手"
4,"源莉桜","熊本県出身のギタリスト"
5,"椿蒼真","大分県出身のアイドル"
6,"毛利廉","福岡県出身のシンガーソングライター"
7,"諏訪圭","群馬県出身のギタリスト"
8,"社凜太郎","北海道出身のシンガーソングライター"
9,"柊優衣","岡山県出身のシンガーソングライター"
10,"古市陽大","愛媛県出身のシンガーソングライター"
11,"松平颯汰","滋賀県出身のシンガーソングライター"
12,"金剛凛","和歌山県出身の演歌歌手"
13,"大月樹生","福島県出身のシンガーソングライター"
14,"流鏑馬奏翔","山形県出身の演歌歌手"
15,"明石愛","高知県出身のアイドル"
16,"朝霧琉聖","広島県出身のロック歌手"
17,"金扇菜々子","高知県出身のロック歌手"
18,"設楽心晴","福井県出身のシンガーソングライター"
19,"浪花津悠人","北海道出身のフォークシンガー"
20,"市之宮翔琉","秋田県出身のシンガーソングライター"
21,"毛利暖","愛媛県出身のロック歌手"
22,"藤咲柚奈","茨城県出身のアイドル"
23,"六角楓","新潟県出身の歌手"
24,"石動一颯","青森県出身の作曲家"
25,"蓮見結月","佐賀県出身のギタリスト"
26,"羽衣拓海","広島県出身のアイドル"
27,"金剛優","岡山県出身のアイドル"
28,"難波美優","福島県出身のアイドル"
29,"藤咲悠翔","秋田県出身のフォークシンガー"
30,"円城寺陽太","岩手県出身のフォークシンガー"
31,"遊馬凛太郎","岐阜県出身の作詞家"
32,"天津ひかり","秋田県出身の歌手"
33,"苗代陸人","長崎県出身の作詞家"
34,"不動颯大","福島県出身のアイドル"
35,"月宮晴","愛知県出身のギタリスト"
36,"月城春翔","長野県出身のフォークシンガー"
37,"摂津奏翔","石川県出身のシンガーソングライター"
38,"扇駿","鳥取県出身のフォークシンガー"
39,"月読由依","北海道出身の作曲家"
40,"七々扇晴","鹿児島県出身のフォークシンガー"
41,"安倍柚葉","香川県出身のフォークシンガー"
42,"神楽木あかり","三重県出身のベーシスト"
43,"郡司大輝","宮城県出身のシンガーソングライター"
44,"早乙女太一","大阪府出身の作詞家"
45,"沖凛","秋田県出身のミュージシャン"
46,"帯刀宙","佐賀県出身のフォークシンガー"
47,"東雲杏","福井県出身のギタリスト"
48,"不破仁","山形県出身のアイドル"
49,"伊集院優奈","栃木県出身のベーシスト"
50,"相良煌大","熊本県出身の演歌歌手"
51,"安倍遥斗","石川県出身の作詞家"
52,"神流結衣","石川県出身の歌手"
53,"乙丸蓮人","広島県出身の作詞家"
54,"権守遥希","山口県出身のアイドル"
55,"三条一華","京都府出身のベーシスト"
56,"鬼屋敷丈","滋賀県出身の作詞家"
57,"朝霧心晴","三重県出身の作詞家"
58,"霧雨大河","宮崎県出身のギタリスト"
59,"権守悠太","大阪府出身のギタリスト"
60,"水野拓海","新潟県出身のフォークシンガー"
61,"長戸瑛斗","愛媛県出身の作詞家"
62,"有馬瑛太","大分県出身のロック歌手"
63,"稲葉蓮翔","山形県出身のアイドル"
64,"出雲理仁","埼玉県出身の演歌歌手"
65,"五百扇翔大","千葉県出身の作曲家"
66,"涼風咲良","宮崎県出身のフォークシンガー"
67,"一堂菜々","茨城県出身のシンガーソングライター"
68,"天神輝","千葉県出身のシンガーソングライター"
69,"皇陽葵","栃木県出身のギタリスト"
70,"千両柚希","群馬県出身のアイドル"
71,"榊翔琉","鳥取県出身の作曲家"
72,"御嶽愛海","和歌山県出身のミュージシャン"
73,"柳愛","香川県出身のアイドル"
74,"四童子琉空","千葉県出身のミュージシャン"
75,"桜庭咲良","岩手県出身のアイドル"
76,"綾崎楓","岡山県出身のアイドル"
77,"辰巳陸人","長野県出身の作曲家"
78,"草薙優太","茨城県出身の歌手"
79,"設楽あおい","熊本県出身の作詞家"
80,"美作麗","栃木県出身の作曲家"
81,"榊結菜","沖縄県出身のアイドル"
82,"九重凛","富山県出身の作曲家"
83,"月城翔琉","鹿児島県出身のギタリスト"
84,"藤堂莉桜","神奈川県出身のアイドル"
85,"一色丈","宮崎県出身の歌手"
86,"水無瀬優太","熊本県出身のシンガーソングライター"
87,"小桜優真","千葉県出身の演歌歌手"
88,"一色あかり","大分県出身のミュージシャン"
89,"沖蓮斗","茨城県出身の演歌歌手"
90,"英杏","埼玉県出身のアイドル"
91,"橘陽翔","山梨県出身の作詞家"
92,"伊藤陽大","愛知県出身のシンガーソングライター"
93,"鬼頭陸人","佐賀県出身のシンガーソングライター"
94,"群雲匠真","長崎県出身の作曲家"
95,"八坂優奈","福井県出身のフォークシンガー"
96,"伊集院陽向","三重県出身の演歌歌手"
97,"須磨優菜","秋田県出身の作詞家"
98,"水野美空","広島県出身の歌手"
99,"郡司怜央","兵庫県出身のシンガーソングライター"
100,"神室優心","福岡県出身のミュージシャン"
101,"志摩愛","茨城県出身のフォークシンガー"
102,"矢吹楓","北海道出身の歌手"
103,"月城悠太","福岡県出身の歌手"
104,"鬼ヶ原一颯","佐賀県出身の演歌歌手"
105,"春風琥珀","鹿児島県出身の作詞家"
106,"神流颯馬","奈良県出身のギタリスト"
107,"小鳥遊健太","愛媛県出身の演歌歌手"
108,"鳳愛","静岡県出身のロック歌手"
109,"武蔵大河","岐阜県出身のベーシスト"
110,"椿原くるみ","山梨県出身のシンガーソングライター"
111,"氏家凛","東京都出身のアイドル"
112,"伏見美空","北海道出身の演歌歌手"
113,"神社千尋","埼玉県出身のアイドル"
114,"宗方宙","兵庫県出身の歌手"
115,"綾小路暖","北海道出身のアイドル"
116,"神流菜々","東京都出身の作曲家"
117,"二色心晴","岐阜県出身の作曲家"
118,"薬袋愛花","愛知県出身のアイドル"
119,"小鳥遊結愛","福岡県出身のロック歌手"
120,"花崎柚奈","千葉県出身のアイドル"
121,"柊美咲","愛媛県出身の作曲家"
122,"飛鳥志帆","鳥取県出身のアイドル"
123,"足利暖","滋賀県出身の歌手"
124,"東雲一華","群馬県出身のフォークシンガー"
125,"三好太陽","福岡県出身のアイドル"
126,"二宮美結","奈良県出身のフォークシンガー"
127,"四ツ目拓海","兵庫県出身のロック歌手"
128,"俵璃音","富山県出身のロック歌手"
129,"菱川怜","愛媛県出身のミュージシャン"
130,"百目鬼莉乃","香川県出身のベーシスト"
131,"神凪悠真","福井県出身の作曲家"
132,"霧生瑛斗","大阪府出身のアイドル"
133,"松平海翔","北海道出身のロック歌手"
134,"伊藤歩","島根県出身のフォークシンガー"
135,"円教寺朔太郎","愛媛県出身の歌手"
136,"不破悠太","北海道出身のギタリスト"
137,"錦織心晴","栃木県出身の演歌歌手"
138,"雪城心陽","千葉県出身のアイドル"
139,"三好海斗","徳島県出身のアイドル"
140,"桜庭桃花","滋賀県出身の作曲家"
141,"伊達柚奈","岡山県出身の演歌歌手"
142,"神楽坂琉聖","熊本県出身の作曲家"
143,"東条美優","福島県出身のロック歌手"
144,"黒武者凛","高知県出身のギタリスト"
145,"天羽あかり","群馬県出身のシンガーソングライター"
146,"徒野美空","香川県出身のアイドル"
147,"柳葉鈴","新潟県出身のミュージシャン"
148,"須磨新","奈良県出身のベーシスト"
149,"東郷愛菜","島根県出身のロック歌手"
150,"北條湊人","宮城県出身のアイドル"
151,"大甕蓮","長崎県出身の演歌歌手"
152,"九頭竜朔太郎","岡山県出身の作曲家"
153,"神流怜央","静岡県出身のフォークシンガー"
154,"帯刀結人","埼玉県出身のシンガーソングライター"
155,"御剣理仁","京都府出身のミュージシャン"
156,"沖明里","沖縄県出身のベーシスト"
157,"天道花","島根県出身の歌手"
158,"百鬼結衣","神奈川県出身の歌手"
159,"真田さくら","北海道出身の作詞家"
160,"英和奏","大分県出身のギタリスト"
161,"九十九蒼","大分県出身の歌手"
162,"長船翔","岩手県出身のロック歌手"
163,"苗代心","和歌山県出身の作曲家"
164,"社空","新潟県出身の作曲家"
165,"市松陽菜","徳島県出身の歌手"
166,"雪城丈太郎","大分県出身のベーシスト"
167,"扇美咲","高知県出身のシンガーソングライター"
168,"月島美空","沖縄県出身のアイドル"
169,"壬生杏菜","群馬県出身のミュージシャン"
170,"犬童ひまり","徳島県出身のベーシスト"
171,"宇治原杏","三重県出身の歌手"
172,"松風丈","岐阜県出身のアイドル"
173,"南雲七海","徳島県出身のミュージシャン"
174,"鬼瓦由依","滋賀県出身のフォークシンガー"
175,"月宮海翔","岐阜県出身のギタリスト"
176,"笹部葵","長崎県出身のアイドル"
177,"五條花","兵庫県出身のミュージシャン"
178,"袈裟丸翔大","奈良県出身の演歌歌手"
179,"水無瀬晴","沖縄県出身のシンガーソングライター"
180,"菱川愛莉","宮崎県出身のシンガーソングライター"
181,"三之宮優衣","岩手県出身のギタリスト"
182,"金剛龍之介","香川県出身のギタリスト"
183,"小清水湊","香川県出身の演歌歌手"
184,"金扇桜子","和歌山県出身の歌手"
185,"香坂咲菜","山梨県出身のロック歌手"
186,"葛葉陽菜","山口県出身の作曲家"
187,"諏訪優花","宮城県出身の作詞家"
188,"小桜新太","静岡県出身のアイドル"
189,"東雲蓮翔","宮崎県出身のミュージシャン"
190,"京極ひなた","埼玉県出身の歌手"
191,"錦織太一","福岡県出身のギタリスト"
192,"十文字遼太","福島県出身のベーシスト"
193,"向坂旭","高知県出身の作詞家"
194,"伊勢葵","和歌山県出身のアイドル"
195,"足利晴矢","東京都出身のフォークシンガー"
196,"浪花津柚菜","新潟県出身のアイドル"
197,"四童子莉桜","茨城県出身の作詞家"
198,"出雲一花","愛知県出身のフォークシンガー"
199,"設楽未來","島根県出身のミュージシャン"
200,"豪徳寺彩羽","新潟県出身の作詞家"
201,"笹部悠斗","沖縄県出身のフォークシンガー"
202,"伏見陽葵","福岡県出身のアイドル"
203,"毛利愛華","和歌山県出身のロック歌手"
204,"五百扇大貴","愛媛県出身のアイドル"
205,"稲葉圭","佐賀県出身の作曲家"
206,"水無月颯馬","青森県出身のフォークシンガー"
207,"蓮見菜々","長野県出身の作詞家"
